Date : 2017-08-07 18:23:37
   2017-08-07 18:23:17:183	Test Passed at : 2017-08-07 18:23:30:0450 ; 3MX2-4010(01_NoProceedtoWrite)  The test is PASSED	
      Test Started	3MX2-4010(01_NoProceedtoWrite)	2017-08-07 18:23:17:1830
      ICC Interface 	Log Passing Data property set to False	2017-08-07 18:23:17:4010
      SCRIPT_WRITER	5.63.00	2017-08-07 18:23:17:4420
      PROFILE	not applicable	2017-08-07 18:23:17:4760
      REFERENCE	3MX2-4010	2017-08-07 18:23:17:5130
      REVISION	1.15	2017-08-07 18:23:17:5420
      OBJECTIVE	To ensure the reader does not wait for DET after AFL reading completion when PTFWF is not present or different from '00'	2017-08-07 18:23:17:5870
      PASS CRITERIA	Case 1 * After issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing Application Capability Information, empty DSID. DataNeeded template shall be empty.* Upon Completion of all ReadRecord commands as per the AFL, the reader shall send a GenAC command asking for CDA and TC. The CDOL shall include the UnProtectedDataEnvelope1 Data field filled with '0000000000000000000000000000000000000000000000000000000000000000'.Case 2* Upon Completion of all ReadRecord commands as per the AFL, the reader shall send a GenAC command asking for CDA and TC. The CDOL shall include the UnProtectedDataEnvelope1 Data field filled with '0000000000000000000000000000000000000000000000000000000000000000'. Case 3* Upon Completion of all ReadRecord commands as per the AFL, the reader shall send a DEK signal including DataNeeded template containing UnProtectedDataEnvelope1. DataToSend template shall be empty.* Upon reception of a DET signal containing the UnProtectedDataEnvelope1 and PTFWF, the reader shall send a GenAC command asking for CDA and TC. The CDOL1 shall contain the UnProtectedDataEnvelope1 Data field filled with '000102030405060708090A0B0C0D0E0F000102030405060708090A0B0C0D0E0F'. For all Cases* Upon reception of the card response to GenAC, the reader shall send an OUT Signal to the Terminal. In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).	2017-08-07 18:23:17:6180
      APPLICABILITY CONDITIONS	None	2017-08-07 18:23:17:6530
      TERMINAL CONFIGURATION	PPMC_DETTR25	2017-08-07 18:23:17:6830
      ISSUER PROCESSING	Please use the following XML file reference: 3MX2-4010-1	2017-08-07 18:23:17:7280
      Command sent by Reader		2017-08-07 18:23:19:4680
      PURCH	COLD	2017-08-07 18:23:19:5140
      CARD ACTIVATED		2017-08-07 18:23:19:5860
      Command sent by Reader	00A404000E325041592E5359532E444446303100	2017-08-07 18:23:19:7100
      PURCH	WARM	2017-08-07 18:23:19:7560
      C-APDU	00 A4 04 00 0E 32 50 41 - 59 2E 53 59 53 2E 44 44	2017-08-07 18:23:19:7890
      C-APDU	46 30 31 00	2017-08-07 18:23:19:8350
