Date : 2017-08-07 18:34:25
   2017-07-28 10:19:40:916	Test Passed at : 2017-07-28 10:20:38:4510 ; 3MX4-3810(02_Duptags-TagsBfrGAC)  The test is PASSED	
      Test Started	3MX4-3810(02_Duptags-TagsBfrGAC)	2017-07-28 10:19:40:9160
      ICC Interface 	Log Passing Data property set to False	2017-07-28 10:19:40:9870
      SCRIPT_WRITER	5.63.00	2017-07-28 10:19:41:0240
      PROFILE	not applicable	2017-07-28 10:19:41:0410
      REFERENCE	3MX4-3810	2017-07-28 10:19:41:0640
      REVISION	1.13	2017-07-28 10:19:41:0820
      OBJECTIVE	To ensure the reader overwrite data in case same Tags are received across multiple DETTo ensure the reader overwrite data in TagsToWriteBeforeGenAC and TagsToWriteAfterGenAC if same Tags are received within template, across multiple DET	2017-07-28 10:19:41:1140
      PASS CRITERIA	Case 1* After issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing the DEK Signal Identifier, Application Capability Information and empty DSID. DataNeeded template shall be empty.* After reception of a DET signal containing the UnProtectedDataEnvelope1 and TagsToRead and during the processing of the ReadRecord commands as per the AFL, a second DEK signal shall be sent by the reader including DataToSend template containing DSVN. DataNeeded template shall be empty.* Upon reception of a DET signal containing the UnProtectedDataEnvelope1 and PTFWF, the reader shall send out a GenAC command asking for CDA and TC. The CDOL1 shall contain the UnProtectedDataEnvelope1 Value '101112131415161718191A1B1C1D1E1F101112131415161718191A1B1C1D1E1F'.* Upon reception of the card response to GenAC, the reader shall send an OUT Signal to the Terminal. In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).Case 2* After issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing the DEK Signal Identifier, Application Capability Information and empty DSID and DataNeeded template containing TagsToWriteBeforeGenAC. * After reception of a DET signal containing the TLV TagsToWriteBeforeGenAC and during the processing of the ReadRecord commands as per the AFL but before the GenAC, a second DEK signal shall be sent by the reader including DataToSend template containing DSVN. DataNeeded template shall be empty.* Upon reception of a DET signal containing the TLV TagsToWriteBeforeGenAC and PTFWF, the reader shall send out a PutData on tag '9F75' with the value provided by the terminal in the 2nd DET* Upon completion of the PutData Command, the reader shall send out a GenAC command asking for CDA and TC.* Upon reception of the card response to GenAC, the reader shall send an OUT Signal to the Terminal:In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).In DiscretionaryData, PreGenACPutDataStatus shall indicate '80' (Completed)Case 3* After issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing the DEK Signal Identifier, Application Capability Information and empty DSID and DataNeeded template containing TagsToWriteAfterGenAC. * After reception of a DET signal containing the TLV TagsToWriteBeforeGenAC and during the processing of the ReadRecord commands as per the AFL but before the GenAC, a second DEK signal shall be sent by the reader including DataToSend template containing DSVN. DataNeeded template shall be empty.* Upon reception of a DET signal containing the TLV TagsToWriteBeforeGenAC and PTFWF, the reader shall send out a GenAC command asking for CDA and TC.* After completion the GenAC Command, the reader shall send out a PutData on tag '9F75' with the value provided by the terminal in the 2nd DET.* Upon reception of the card response to PutData, the reader shall send an OUT Signal to the Terminal:In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).In DiscretionaryData, PostGenACPutDataStatus shall indicate '80' (Completed)	2017-07-28 10:19:41:1330
      APPLICABILITY CONDITIONS	None	2017-07-28 10:19:41:1580
      TERMINAL CONFIGURATION	PPMC_DETTR8	2017-07-28 10:19:41:1770
      ISSUER PROCESSING	Please use the following XML file reference: 3MX4-3810-2	2017-07-28 10:19:41:2090
      Command sent by Reader		2017-07-28 10:20:05:0870
      PURCH	COLD	2017-07-28 10:20:05:1920
      CARD ACTIVATED		2017-07-28 10:20:05:2500
      Command sent by Reader	00A404000E325041592E5359532E444446303100	2017-07-28 10:20:05:2960
      PURCH	WARM	2017-07-28 10:20:05:3300
      C-APDU	00 A4 04 00 0E 32 50 41 - 59 2E 53 59 53 2E 44 44	2017-07-28 10:20:05:3510
      C-APDU	46 30 31 00	2017-07-28 10:20:05:3511
      SELECT		2017-07-28 10:20:05:3520
         CLA	00	
         INS	A4	
         P1	04	
         P2	00	
         Lc	0E	
         Data		
            FID	325041592E5359532E4444463031	
         Le	00	
      PURCH	(PayPass_Select_PPSE_all)	2017-07-28 10:20:05:3720
