Date : 2017-08-07 18:29:29
   2017-07-28 11:47:45:289	Test Passed at : 2017-07-28 11:48:13:9210 ; 3MX2-4400(02_GetdataS6)  The test is PASSED	
      Test Started	3MX2-4400(02_GetdataS6)	2017-07-28 11:47:45:2890
      ICC Interface 	Log Passing Data property set to False	2017-07-28 11:47:45:3630
      SCRIPT_WRITER	5.63.00	2017-07-28 11:47:45:4040
      PROFILE	not applicable	2017-07-28 11:47:45:4220
      REFERENCE	3MX2-4400	2017-07-28 11:47:45:5100
      REVISION	1.14	2017-07-28 11:47:45:5290
      OBJECTIVE	To ensure the reader updates DataToSend with a tag with zero length if Response to GetData <> 90 00	2017-07-28 11:47:45:5620
      PASS CRITERIA	For case 1,* After reception of the response to GetPO, The reader shall send out five GetData Commands (To read Unprotected Data Envelopes 1 to 5)* After Issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing DEK Signal Identifier, Application Capability Information as well as Unprotected Data Envelopes 1,3, 4 and 5 filled with 32 bytes having value '01' to '20' and empty UnProtectedDataEnvelope2. DataNeeded template shall be empty.For case 2,* After issuance of the second ReadRecord command, the reader shall send a DEK signal including DataToSend template containing DEK Signal Identifier and PAN: * Upon completion of all ReadRecord commands as per the AFL, the reader shall send a DEK signal including empty DataToSend template and DataNeeded template containing PTFWF* Upon reception of a DET signal containing PTFWF and TagsToRead, the reader shall send out a GetData command with Tag 9F75 (UnProtectedDataEnvelope1)* Upon reception of the card response to GetData, the reader shall send a DEK signal including DataToSend template containing empty UnProtectedDataEnvelope1. DataNeeded template shall not be present.For case 3,* After reception of the response to GetPO, The reader shall send out one GetData Command (To read UnProtectedDataEnvelope1)* After Issuance of the GetData command, the reader shall send a DEK signal including DataToSend template containing DEK Signal Identifier and Application Capability Information. DataNeeded template shall be empty.* After Issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing empty UnProtectedDataEnvelope1. DataNeeded template shall be empty.For all cases* Upon reception of the card response to GenAC, the reader shall send an OUT Signal to the Terminal. In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).	2017-07-28 11:47:45:5810
      APPLICABILITY CONDITIONS	None	2017-07-28 11:47:45:6050
      TERMINAL CONFIGURATION	PPMC_DETTR23	2017-07-28 11:47:45:6440
