Date : 2017-08-07 18:39:56
   2017-07-25 09:36:13:394	Test Passed at : 2017-07-25 09:38:55:6790 ; 3M06-9040(TimeOut-on-First-ReadRecord)  The test is PASSED	
      Test Started	3M06-9040(TimeOut-on-First-ReadRecord)	2017-07-25 09:36:13:3940
      ICC Interface 	Log Passing Data property set to False	2017-07-25 09:36:13:5160
      SCRIPT_WRITER	5.63.00	2017-07-25 09:36:13:5370
      PROFILE	not applicable	2017-07-25 09:36:13:5650
      REFERENCE	3M06-9040	2017-07-25 09:36:13:5940
      REVISION	1.19	2017-07-25 09:36:13:6190
      OBJECTIVE	To ensure the reader processing is stopped when a time out occurs (due to a mute card).To ensure the reader correctly initializes the payment-related data objects.	2017-07-25 09:36:13:6510
      PASS CRITERIA	Since the card is mute, the reader must stop the transaction.The reader must build an OUT signal.In UIRD,- 'Message Identifier' must indicate 'Try again'- 'Status' must indicate 'READY TO READ' - 'MessageHold Time' must indicate '000000'- 'LanguagePreference' must indicate '0000000000000000'- 'Value Qualifier' must indicate 'NONE'- 'Value' must indicate '000000000000'- 'Currency Code' must indicate '0000'In OPS, - 'Status' must indicate 'END APPLICATION'- 'Start' must indicate 'B'- 'CVM' is set to 'N/A' - 'UI Request on Outcome Present' is cleared- 'UI Request on Restart Present' is set- 'DataRecord Present' is cleared- 'DiscretionaryData Present' is set- 'Receipt' in OPS :=N/A- 'Alternate Interface Preference' is set to 'N/A'- 'Field Off Request' is set to 'N/A'- 'Removal Timeout' is set to '0'- 'Online Response Data' is set to 'N/A' In OUT\DiscretionaryData\ErrorIndication,- 'Msg On Error' must indicate 'Try again'- 'L1' must indicate 'TIME OUT ERROR'- 'L2' must indicate 'OK' - 'L3' must indicate 'OK' - 'SW12' must indicate '0000' The reader must then start a new transaction by sending a PPSE command.	2017-07-25 09:36:13:6790
      APPLICABILITY CONDITIONS	None	2017-07-25 09:36:13:7090
      TERMINAL CONFIGURATION	PPS_Mchip1	2017-07-25 09:36:13:7360
      Command sent by Reader		2017-07-25 09:36:14:7600
      PURCH	COLD	2017-07-25 09:36:14:8000
      CARD ACTIVATED		2017-07-25 09:36:14:8690
      Command sent by Reader	00A404000E325041592E5359532E444446303100	2017-07-25 09:36:14:9240
      PURCH	WARM	2017-07-25 09:36:14:9680
      C-APDU	00 A4 04 00 0E 32 50 41 - 59 2E 53 59 53 2E 44 44	2017-07-25 09:36:14:9980
      C-APDU	46 30 31 00	2017-07-25 09:36:14:9981
      SELECT		2017-07-25 09:36:14:9990
         CLA	00	
         INS	A4	
         P1	04	
         P2	00	
         Lc	0E	
         Data		
            FID	325041592E5359532E4444463031	
         Le	00	
      PURCH	(PayPass_Select_PPSE_all)	2017-07-25 09:36:15:0110
      R-APDU	6F 3D 84 0E 32 50 41 59 - 2E 53 59 53 2E 44 44 46	2017-07-25 09:36:15:0890
      R-APDU	30 31 A5 2B BF 0C 28 61 - 0C 4F 07 A0 00 00 00 04	2017-07-25 09:36:15:0900
      R-APDU	10 10 87 01 01 61 0C 4F - 07 A0 00 00 00 04 30 60	2017-07-25 09:36:15:0910
      R-APDU	87 01 03 61 0A 4F 05 B0 - 12 34 56 78 87 01 09 90	2017-07-25 09:36:15:0920
      R-APDU	00	2017-07-25 09:36:15:0921
      SELECT Emulated Response		2017-07-25 09:36:15:0930
         BERTLVData	6F3D840E325041592E5359532E4444463031A52BBF0C28610C4F07A0000000041010870101610C4F07A0000000043060870103610A4F05B012345678870109	
